Time,Occupant Number,INDOOR Ambient Temp.,INDOOR Relative Humidity,INDOOR Air Velocity,INDOOR Mean Radiant Temp.,Predicted Mean Vote (PMV)
735082.84375,1.0,23.031097,50.591,0.030988,23.031097,-0.929289
735082.854167,1.0,23.031097,50.547,0.030988,23.031097,-0.929588
735082.864583,1.0,23.031097,50.597,0.030988,23.031097,-0.929249
735082.875,1.0,23.031097,50.679,0.030988,23.031097,-0.928692
735082.885417,1.0,23.031097,51.03,0.030988,23.031097,-0.92631
735082.895833,1.0,23.203719,51.957,0.030988,23.203719,-0.857391
735082.90625,1.0,23.376341,53.262,0.030988,23.376341,-0.78572
735082.916667,1.0,23.376341,54.591,0.030988,23.376341,-0.77651
735082.927083,1.0,23.376341,55.762,0.030988,23.376341,-0.768394
735082.9375,1.0,23.548963,57.232,0.030988,23.548963,-0.695199
735082.947917,1.0,23.721585,57.739,0.030988,23.721585,-0.628602
735082.958333,1.0,23.721585,58.491,0.030988,23.721585,-0.623281
735082.96875,1.0,23.721585,59.362,0.030988,23.721585,-0.617118
735082.979167,1.0,23.721585,60.015,0.030988,23.721585,-0.612497
735082.989583,1.0,23.894207,60.79,0.030988,23.894207,-0.54374
735083.0,1.0,23.894207,61.349,0.030988,23.894207,-0.539744
735083.010417,1.0,23.980518,61.903,0.030988,23.980518,-0.504104
735083.020833,1.0,23.980518,62.399,0.030988,23.980518,-0.500539
735083.03125,1.0,23.980518,62.981,0.030988,23.980518,-0.496356
735083.041667,1.0,23.980518,63.472,0.030988,23.980518,-0.492827
735083.052083,1.0,24.066829,63.719,0.030988,24.066829,-0.459305
735083.0625,1.0,24.066829,64.329,0.030988,24.066829,-0.454898
735083.072917,1.0,24.066829,64.429,0.030988,24.066829,-0.454175
735083.083333,1.0,24.066829,64.64,0.030988,24.066829,-0.452651
735083.09375,1.0,24.066829,64.917,0.030988,24.066829,-0.45065
735083.104167,1.0,24.066829,65.223,0.030988,24.066829,-0.448439
735083.114583,1.0,24.066829,65.65,0.030988,24.066829,-0.445354
735083.125,1.0,24.066829,65.801,0.030988,24.066829,-0.444263
735083.135417,1.0,24.066829,66.076,0.030988,24.066829,-0.442276
735083.145833,1.0,24.066829,66.171,0.030988,24.066829,-0.44159
735083.15625,1.0,24.066829,66.231,0.030988,24.066829,-0.441157
735083.166667,1.0,24.066829,66.412,0.030988,24.066829,-0.439849
735083.177083,1.0,24.066829,66.626,0.030988,24.066829,-0.438303
